,,,"Collection in progress by Jeremy Pressman (@djpressman, U of Connecticut) and Erica Chenoweth (@EricaChenoweth, U of Denver). ",,,,,,
,,,"With thanks to Rivera Sun, Sarah Syverson, & many others for assistance compiling sources.",,,,,,
,,,"To submit additional information, please use this form: https://goo.gl/forms/PmLax1SUfUnQ0ftd2",,,,,,
,,,,,,,,,
,State/Territory,Country,Estimate1 (low),Estimate2 (high),Estimate3,Not 1/21,Source1,Source2,Source3
"Bend, OR",OR,US,"5,000","5,000",,,http://www.ktvz.com/news/thousands-march-in-bend-to-protest-trump-policies/284779764,,
"Bentonville, AR",AR,US,300,600,,,onsite eyewitness; headcount,,
"Berkeley, CA",CA,US,200,"1,000",,,http://www.dailycal.org/2017/01/21/berkeley-community-joins-millions-around-world-participating-womens-marches/,Eyewitness w/ photos,
"Bethel, AK",AK,US,40,80,,,https://www.adn.com/slideshow/visual/2017/01/21/thousands-hit-the-streets-for-womens-march-events-in-alaska/,http://kyuk.org/post/slideshow-bethel-protesters-march-solidarity-women-worldwide#stream/0,
"Bethlehem, PA",PA,US,500,500,,,http://www.mcall.com/news/breaking/mc-women--march-20170121-story.html,,
"Bettendorf, IA",IA,US,800,800,,,http://www.ourquadcities.com/news/qc-equality-rally-packs-local-union-hall/643846922,,
"Beverly Hills, CA",CA,US,250,300,,,onsite eyewitness; headcount w photos via google form,,
"Binghamton, NY",NY,US,"2,000","3,000",,,FB,http://www.pressconnects.com/story/news/local/new-york/2017/01/21/thousands-protest-trump-agenda-binghamton-womens-march/96887770/,
"Birmingham, AL",AL,US,"5,000",10000,,,http://www.al.com/news/birmingham/index.ssf/2017/01/thousands_parade_through_birmi.html#incart_river_mobileshort_home,https://twitter.com/JackJacobs_/status/822938968073404416,
"Bishop, CA",CA,US,600,600,,,FB,,
